ticker,pattern_type,breakout_type,confirmed,breakout_date,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
TRV,ihs,pending,pending,,316.8806704807572,318.46507383316094,310.5430570711421,366.7336745991225,15.73,16,50.5,active,2025-12-08,2026-03-23
XEL,rectangle,pending,pending,,83.73099255059927,84.14964751335225,82.05637269958729,90.6969857115501,9.07,10,50.4,active,2026-02-23,2026-04-27
AIG,rectangle,pending,pending,,80.45569254278163,80.85797100549553,78.846578691926,88.08571105891652,10.48,9,49.7,active,2026-03-02,2026-04-27
GE,hs,pending,pending,,265.6833032729806,267.0183952492267,272.35876315421126,186.06369112004222,30.32,15,49.5,active,2026-01-05,2026-04-13
MDLZ,ihs,pending,pending,,66.2484767603351,66.57971914413676,64.92350722512839,81.73643602340897,23.38,14,49.3,active,2025-12-08,2026-03-09
VST,ihs,pending,pending,,174.5302682915599,175.4029196330177,171.0396629257287,210.71924725624714,20.74,13,48.7,active,2026-01-05,2026-03-30
TJX,ihs,pending,pending,,163.70790147529084,164.52644098266728,160.433743445785,182.47167331392097,11.46,12,48.1,active,2025-12-29,2026-03-16
WPM,hs,pending,pending,,102.22741105548053,102.7411166386739,104.79593897144738,39.98353914520817,61.08,12,47.7,active,2026-01-26,2026-04-13
AU,hs,pending,pending,,74.20010329474576,74.57296813542287,76.06442749813132,22.139772920480837,70.31,11,47.1,active,2026-01-26,2026-04-06
FNV,hs,pending,pending,,216.26286432944283,217.34961239139983,221.69660463922784,149.5022465246209,31.22,11,47.1,active,2026-01-26,2026-04-06
TERM,ihs,pending,pending,,22.45258363087972,22.564846549034115,22.003531958262123,23.69516817728678,5.53,10,46.9,active,2021-06-14,2021-08-16
EDU,hs,type1,none,2026-05-18,49.376894721881754,49.62501982098669,50.61752021740642,35.0318593086016,29.41,25,46.3,active,2025-10-27,2026-04-13
TAL,ihs,type1,none,2026-05-18,14.734999656677246,14.808674654960631,14.440299663543701,19.489999771118164,32.27,11,42.6,active,2025-09-08,2025-11-17
ECL,hs,type2,none,2026-05-11,251.17665366556676,252.43884790509222,257.48762486319407,196.4343540497665,22.19,21,42.1,active,2025-11-24,2026-04-13
DAL,hs,type1,none,2026-05-18,47.402645929904395,47.640850180808435,48.5936671844246,19.300275731462946,59.49,15,40.3,active,2026-01-05,2026-04-13
